1983,DET,KellyTripucka,IsiahThomas,BillLaimbeer,JohnLong,VinnieJohnson,KentBenson,CliffLevingston,EarlCureton
1983,KCK,EddieJohnson,LasalleThompson,MikeWoodson,ReggieTheus,LarryDrew,LarryMicheaux,MarkOlberding,DaveRobisch
1983,LAL,MagicJohnson,KareemAbdul-jabbar,MichaelCooper,JamesWorthy,BobMcadoo,KurtRambis,ByronScott,MikeMcgee
1983,MIL,SidneyMoncrief,MarquesJohnson,JuniorBridgeman,BobLanier,MikeDunleavy,AltonLister,PaulPressey,PaulMokeski
1983,NJN,BuckWilliams,MichealrayRichardson,OtisBirdsong,DarrylDawkins,AlbertKing,MikeGminski,MikeO'koren,DarwinCook
1983,NYK,BernardKing,BillCartwright,RorySparrow,RayWilliams,TrentTucker,LouisOrr,MarvinWebster,DarrellWalker
1983,PHI,MosesMalone,JuliusErving,AndrewToney,MauriceCheeks,BobbyJones,ClintRichardson,MarcIavaroni,SamuelWilliams
1983,PHO,LarryNance,WalterDavis,KyleMacy,MauriceLucas,JamesEdwards,AlvanAdams,CharliePittman,PaulWestphal
1983,POR,CalvinNatt,KennyCarr,DarnellValentine,JimPaxson,MychalThompson,WayneCooper,ClydeDrexler,LafayetteLever
1983,SEA,GusWilliams,JackSikma,TomChambers,AlWood,DannyVranes,ReggieKing,FredBrown,SteveHawes
1983,UTA,AdrianDantley,DarrellGriffith,RickeyGreen,ThurlBailey,MarkEaton,JeffWilkins,RichKelley,JohnDrew
1983,WA1,JeffRuland,GregBallard,FrankJohnson,RickMahorn,RickySobers,JeffMalone,TomMcmillen,JoeKopicki
1984,BOS,DennisJohnson,KevinMchale,LarryBird,RobertParish,DannyAinge,ScottWedman,RayWilliams,CedricMaxwell
1984,CHI,MichaelJordan,OrlandoWoolridge,DavidGreenwood,QuintinDailey,WesMatthews,JawannOldham,DaveCorzine,SidneyGreen
1984,CLE,JohnBagley,WorldFree,RoyHinson,LonnieShelton,PhilHubbard,BenPoquette,MarkWest,JohnnyDavis
1984,DAL,RolandoBlackman,SamPerkins,MarkAguirre,JayVincent,DerekHarper,BradDavis,DaleEllis,KurtNimphius
1984,DEN,AlexEnglish,CalvinNatt,T.r.Dunn,ElstonTurner,LafayetteLever,DanIssel,WayneCooper,BillHanzlik
1984,DET,IsiahThomas,BillLaimbeer,KellyTripucka,JohnLong,VinnieJohnson,DanRoundfield,TerryTyler,KentBenson
1984,HOU,RalphSampson,HakeemOlajuwon,RodneyMccray,LewisLloyd,JohnLucas,LionelHollins,RobertReid,LarryMicheaux
1984,LAL,MagicJohnson,JamesWorthy,KareemAbdul-jabbar,ByronScott,MichaelCooper,BobMcadoo,KurtRambis,MikeMcgee
1984,MIL,SidneyMoncrief,TerryCummings,PaulPressey,CraigHodges,AltonLister,RickyPierce,PaulMokeski,RandyBreuer
1984,NJN,MichealrayRichardson,BuckWilliams,AlbertKing,RonBrewer,MikeGminski,DarrylDawkins,KelvinRansey,MikeO'koren
1984,PHI,MosesMalone,MauriceCheeks,AndrewToney,JuliusErving,CharlesBarkley,BobbyJones,ClintRichardson,ClemonJohnson
1984,PHO,MikeSanders,JayHumphries,KyleMacy,MauriceLucas,CharliePittman,AlvanAdams,AlvinScott,RodFoster
1984,POR,ClydeDrexler,ErnieVandeweghe,KennyCarr,SamBowie,MychalThompson,DarnellValentine,JimPaxson,SteveColter
1984,SAS,ArtisGilmore,GeorgeGervin,MikeMitchell,JohnnyMoore,MarcIavaroni,JohnPaxson,JeffCook,OzellJones
1984,UTA,AdrianDantley,ThurlBailey,DarrellGriffith,RickeyGreen,JeffWilkins,JohnStockton,RichKelley,MarkEaton
1984,WA1,JeffRuland,GusWilliams,JeffMalone,CliffRobinson,CharlesJones,DarrenDaye,GregBallard,DudleyBradley
1985,ATL,DominiqueWilkins,RandyWittman,KevinWilliams,JonKoncak,SpudWebb,CliffLevingston,JohnnyDavis,ScottHastings
1985,BOS,LarryBird,DennisJohnson,KevinMchale,DannyAinge,RobertParish,BillWalton,JerrySichting,ScottWedman
1985,CHI,MichaelJordan,OrlandoWoolridge,DaveCorzine,CharlesOakley,KyleMacy,JohnPaxson,GeneBanks,SidneyGreen
1985,DAL,JamesDonaldson,RolandoBlackman,DerekHarper,SamPerkins,MarkAguirre,JayVincent,BradDavis,DetlefSchrempf
1985,DEN,AlexEnglish,LafayetteLever,DannySchayes,CalvinNatt,T.r.Dunn,MikeEvans,ElstonTurner,BlairRasmussen
1985,DET,KellyTripucka,BillLaimbeer,IsiahThomas,JoeDumars,EarlCureton,VinnieJohnson,RickMahorn,KentBenson
1985,HOU,RodneyMccray,RobertReid,HakeemOlajuwon,RalphSampson,LewisLloyd,MitchellWiggins,JimPetersen,AllenLeavell
1985,LAL,MagicJohnson,JamesWorthy,KareemAbdul-jabbar,ByronScott,MichaelCooper,MauriceLucas,KurtRambis,PeturGudmundsson
1985,MIL,PaulPressey,TerryCummings,CraigHodges,AltonLister,SidneyMoncrief,RickyPierce,RandyBreuer,KennyFields
1985,NJN,OtisBirdsong,BuckWilliams,MikeGminski,AlbertKing,DarwinCook,KelvinRansey,MickeyJohnson,MikeO'koren
1985,PHI,MauriceCheeks,CharlesBarkley,JuliusErving,BobbyJones,SedaleThreatt,ClemonJohnson,TerryCatledge,GregStokes
1985,POR,ErnieVandeweghe,ClydeDrexler,KennyCarr,MychalThompson,SteveColter,CaldwellJones,JimPaxson,TerryPorter
1985,SAC,MikeWoodson,ReggieTheus,LasalleThompson,EddieJohnson,MarkOlberding,LarryDrew,TerryTyler,JoeKleine
1985,SAS,WesMatthews,ArtisGilmore,MikeMitchell,DavidGreenwood,AlvinRobertson,SteveJohnson,JeffLamp,JonSundvold
1985,UTA,MarkEaton,ThurlBailey,KarlMalone,BobHansen,RickeyGreen,MarcIavaroni,JohnStockton,CareyScurry
1985,WA1,GusWilliams,JeffMalone,CliffRobinson,DanRoundfield,ManuteBol,DudleyBradley,CharlesJones,TomMcmillen
1986,ATL,DominiqueWilkins,KevinWilliams,RandyWittman,AntoineCarr,SpudWebb,CliffLevingston,MikeMcgee,JonKoncak
1986,BOS,LarryBird,DennisJohnson,KevinMchale,DannyAinge,RobertParish,JerrySichting,FredRoberts,DarrenDaye
1986,CHI,CharlesOakley,MichaelJordan,DaveCorzine,JohnPaxson,GeneBanks,SedaleThreatt,BradSellers,ElstonTurner
1986,DAL,RolandoBlackman,SamPerkins,MarkAguirre,DerekHarper,RoyTarpley,DetlefSchrempf,BradDavis,JamesDonaldson
1986,DEN,LafayetteLever,BlairRasmussen,AlexEnglish,BillHanzlik,DannySchayes,DarrellWalker,MikeEvans,MoMartin
1986,DET,IsiahThomas,BillLaimbeer,AdrianDantley,RickMahorn,JoeDumars,VinnieJohnson,JohnSalley,DennisRodman
1986,GSW,SleepyFloyd,Joe BarryCarroll,LarrySmith,ChrisMullin,PurvisShort,TerryTeagle,GregBallard,RodHiggins
1986,HOU,RodneyMccray,RobertReid,HakeemOlajuwon,AllenLeavell,RalphSampson,JimPetersen,CedricMaxwell,SteveHarris
1986,IND,ChuckPerson,SteveStipanovich,VernFleming,HerbWilliams,JohnLong,WaymanTisdale,ClintRichardson,KyleMacy
1986,LAL,JamesWorthy,MagicJohnson,ByronScott,KareemAbdul-jabbar,MichaelCooper,MychalThompson,KurtRambis,WesMatthews
1986,MIL,PaulPressey,TerryCummings,SidneyMoncrief,JackSikma,JohnLucas,RickyPierce,CraigHodges,RandyBreuer
1986,PHI,CharlesBarkley,MauriceCheeks,JuliusErving,RoyHinson,CliffRobinson,TimMccormick,AndrewToney,DavidWingate
1986,POR,ErnieVandeweghe,ClydeDrexler,TerryPorter,SteveJohnson,CaldwellJones,JimPaxson,JeromeKersey,KevinDuckworth
1986,SEA,DaleEllis,XavierMcdaniel,TomChambers,NateMcmillan,MauriceLucas,ClemonJohnson,KevinWilliams,DannyYoung
1986,UTA,KarlMalone,MarkEaton,JohnStockton,ThurlBailey,BobHansen,DarrellGriffith,RickeyGreen,KellyTripucka
1986,WA1,MosesMalone,JeffMalone,TerryCatledge,MichaelAdams,JayVincent,CharlesJones,JohnWilliams,ManuteBol
1987,ATL,DominiqueWilkins,KevinWilliams,RandyWittman,SpudWebb,AntoineCarr,JohnBattle,CliffLevingston,ScottHastings
1987,BOS,LarryBird,KevinMchale,DennisJohnson,DannyAinge,RobertParish,JimPaxson,MarkAcres,FredRoberts
1987,CHI,MichaelJordan,CharlesOakley,DaveCorzine,HoraceGrant,ScottiePippen,SamVincent,JohnPaxson,BradSellers
1987,CLE,MarkPrice,BradDaugherty,LarryNance,RonHarper,MikeSanders,JohnWilliams,CraigEhlo,ChrisDudley
1987,DAL,RolandoBlackman,DerekHarper,SamPerkins,RoyTarpley,MarkAguirre,JamesDonaldson,BradDavis,DetlefSchrempf
1987,DEN,AlexEnglish,MichaelAdams,DannySchayes,BlairRasmussen,LafayetteLever,MikeEvans,BillHanzlik,JayVincent
1987,DET,IsiahThomas,AdrianDantley,JoeDumars,BillLaimbeer,JohnSalley,VinnieJohnson,DennisRodman,RickMahorn
1987,HOU,HakeemOlajuwon,RodneyMccray,SleepyFloyd,Joe BarryCarroll,RobertReid,JimPetersen,PurvisShort,AllenLeavell
1987,LAL,MagicJohnson,ByronScott,JamesWorthy,KareemAbdul-jabbar,MychalThompson,MichaelCooper,KurtRambis,TonyCampbell
1987,MIL,TerryCummings,JackSikma,PaulPressey,SidneyMoncrief,LarryKrystkowiak,RickyPierce,JohnLucas,RandyBreuer
1987,NYK,MarkJackson,PatrickEwing,GeraldWilkins,JohnnyNewman,SidneyGreen,KennyWalker,BillCartwright,TrentTucker
1987,POR,ClydeDrexler,KevinDuckworth,TerryPorter,JeromeKersey,CaldwellJones,ErnieVandeweghe,RichardAnderson,MauriceLucas
1987,SAS,AlvinRobertson,FrankBrickowski,CadillacAnderson,WalterBerry,JonSundvold,MikeMitchell,JohnnyDawkins,EdNealy
1987,SEA,XavierMcdaniel,DaleEllis,TomChambers,NateMcmillan,DerrickMckey,DannyYoung,SedaleThreatt,AltonLister
